"name","slug","description","assets","facets","optionGroups","optionValues","sku","price","taxCategory","stockOnHand","trackInventory","variantAssets","variantFacets",
"Absolute","absolute","Absolute","https://www.greenlife.co.ke/wp-content/uploads/2022/03/Absolute.png","category:pesticides|company:greenlife|type:inputs","Ml",100,"A2024020800001",666,"zero",100,"","","",""
"Aceprid","aceprid","Aceprid","https://karvelasavee.gr/wp-content/uploads/2021/03/ACEPRID-1-lt_white-2.jpg","category:pesticides|company:agrichem africa ltd|type:inputs","Grams",100,"A2024020800002",330,"zero",100,"","","",""
"Acetastar","acetastar","Acetastar","https://www.adama.com/east-africa/sites/adama_east_africa/files/styles/product_header_image_desktop/public/product-images/ACETASTAR-ken--M_tcm141-75932.png","category:pesticides|company:adama agriculture east africa ltd|type:inputs","Ml",100,"A2024020800003",250,"zero",100,"","","",""
"Acteclic Dust","acteclic-dust","Acteclic Dust","https://agrofog.com/wp-content/uploads/2021/07/syngenta-zyrox-600x600.jpg","category:others|company:syngenta|type:inputs","Grams",50,"A2024020800004",580,"zero",100,"","","",""
"","","","","","Kg",2,"A2024020800005",2230,"zero",100,"","","",""
"Actelic","actelic","Actelic","https://canada-plastics.com/wp-content/uploads/2020/11/plexiglass-acrylic-sheets-uses-benefits-canada-plastics.jpg","category:insecticides|company:nobrook|type:inputs","Grams",100,"A2024020800006",68,"zero",100,"","","",""
"Actelic Gold","actelic-gold","Actelic Gold","https://res.cloudinary.com/dhsjpmqz9/f_auto","q_auto","w_700","c_fill","g_auto/Actellic_Gold_Dust_DSC01209_klttmh","","Pieces",50,"A2024020800007",100,"zero",100
"Actelic Liquid","actelic-liquid","Actelic Liquid","https://agrofog.com/wp-content/uploads/2021/07/syngenta-actellic.jpg","category:pesticides|company:syngenta|type:inputs","Ml",100,"A2024020800008",765,"zero",100,"","","",""
"Actelic Super","actelic-super","Actelic Super","https://twigachemicals.com/wp-content/uploads/2022/03/Actellic-Super.jpg","","Grams",500,"A2024020800009",380,"zero",100,"","","",""
"Actellic Gold Dust","actellic-gold-dust","Actellic Gold Dust","https://res.cloudinary.com/dhsjpmqz9/f_auto","q_auto","w_700","c_fill","g_auto/Actellic_Gold_Dust_DSC01209_klttmh","category:hermetic|company:twiga chemical industries ltd.|type:inputs","Grams",100,"A2024020800010",191,"zero",100
"Actellic Insectside","actellic-insectside","Actellic Insectside","https://agrofog.com/wp-content/uploads/2022/12/syngenta-actellic300cs-2.jpg","category:pesticides|company:twiga chemical industries ltd.|type:inputs","Grams",200,"A2024020800011",186,"zero",100,"","","",""
"","","","","","Ml",200,"A2024020800012",209,"zero",100,"","","",""
"Actellic Insectside 3 Pic","actellic-insectside-3-pic","Actellic Insectside 3 Pic","https://pesafrica.net/wp-content/uploads/2023/09/Actellic-300-CS.jpg","","Kg",1,"A2024020800013",650,"zero",100,"","","",""
"Actellic Super","actellic-super","Actellic Super","https://twigachemicals.com/wp-content/uploads/2022/03/Actellic-Super.jpg","","Grams",100,"A2024020800014",120,"zero",100,"","","",""
"Acteric","acteric","Acteric","https://laarboleda.cr/LDCOM_V12/SERV_ADMIN_FILES/Archivos/Imagenes/Articulos_MED/S0064--112_MED.png","category:insecticides|category:livestock products|company:twiga|type:inputs","Grams",10,"A2024020800015",50,"zero",100,"","","",""
"Actraz","actraz","Actraz","https://jojemiagroshop.co.ke/wp-content/uploads/2023/06/Actraz.png","category:livestock products|acaricides company:osho chemical industries ltd|type:inputs","Ml",40,"A2024020800016",200,"zero",100,"","","",""
"Adacycline","adacycline","Adacycline","https://www.pavesvetagro.co.ke/images/catalog/Antibiotics/index24.jpg","category:drugs|company:bimeda kenya|type:inputs","Ml",100,"A2024020800017",290,"zero",100,"","","",""
"Adacycline 20%","adacycline-20-%","Adacycline 20 %","https://www.pavesvetagro.co.ke/images/catalog/Antibiotics/index24.jpg","","Ml",100,"A2024020800018",333,"zero",100,"","","",""
"Adamycin","adamycin","Adamycin","https://www.bimeda.co.ke/media/k2/items/cache/8ee107fb8e11fa27c5eb0c84c03d7dff_XL.jpg","category:pesticides|company:bimeda kenya|type:inputs","Ml",100,"A2024020800019",405,"zero",100,"","","",""
"Adamycin 10% ","adamycin-10%","Adamycin 10% ","https://www.bimeda.co.ke/media/k2/items/cache/8ee107fb8e11fa27c5eb0c84c03d7dff_XL.jpg","","Ml",100,"A2024020800020",382,"zero",100,"","","",""
"Advanced Dairy Concentrate","advanced-dairy-concentrate","Advanced Dairy Concentrate","https://unga-group.com/wp-content/uploads/2019/06/Dairy-Concentrate.png","category:salts|company:allure animal health ltd|type:inputs","Kg",1,"A2024020800021",158,"zero",100,"","","",""
"Aerine","aerine","Aerine","https://5.imimg.com/data5/SELLER/Default/2023/4/303882682/DG/HX/LS/56685307/bayer-roundup-herbicide.jpg","category:herbicide|company:bayer monsanto|type:inputs","Litre",5,"A2024020800022",2200,"zero",100,"","","",""
"Aflacf","aflacf","Aflacf","","category:fungicides|company:kalro|type:inputs","Kg",2,"A2024020800023",380,"zero",100,"","","",""
"African Night Shade","african-night-shade","African Night Shade","https://images-eu.ssl-images-amazon.com/images/I/41ZBsu23ghL._AC_UL210_SR210","210_.jpg","","Grams",100,"A2024020800024",250,"zero",100,"","",""
"Afya Bora","afya-bora","Afya Bora","https://unga-group.com/wp-content/uploads/2020/12/Joto-Plus-1.png","category:livestock products|company:unga|type:inputs","Kg",1,"A2024020800025",150,"zero",100,"","","",""
"Afyabora Stocklick","afyabora-stocklick","Afyabora Stocklick","https://unga-group.com/wp-content/uploads/2019/06/Stock-Lick.png","category:livestock products|company:unga ltd|type:inputs","Kg",5,"A2024020800026",260,"zero",100,"","","",""
"Agr Grow Extra","agr-grow-extra","Agr Grow Extra","http://www.agrichemtz.com/img/products/Agrigrow_Crystalline_VegetativExtra.png","category:fertilizers|company:agrichem africa ltd|type:inputs","Grams",500,"A2024020800027",150,"zero",100,"","","",""
"","","","","","Kg",1,"A2024020800028",250,"zero",100,"","","",""
"Agral","agral","Agral","https://twigachemicals.com/wp-content/uploads/2022/03/Agral-90.jpg","","Ml",50,"A2024020800029",87,"zero",100,"","","",""
"Agrigrow","agrigrow","Agrigrow","https://negocia.in/Upload/Product/original/6601.jpg","category:foliar|company:agrichem africa ltd|type:inputs","Grams",250,"A2024020800030",150,"zero",100,"","","",""
"","","","","","Kg",1,"A2024020800031",180,"zero",100,"","","",""
"Agrigrow Highmax","agrigrow-highmax","Agrigrow Highmax","https://agrichemafrica.com/wp-content/uploads/2020/11/Agrigrow-1024x455.jpg","category:foliar|company:highchem|type:inputs","Ml",500,"A2024020800032",350,"zero",100,"","","",""
"","","","","","Litre",1,"A2024020800033",700,"zero",100,"","","",""
"Agrimec","agrimec","Agrimec","https://inputs.kalgudi.com/data/p_images/1612332276616.jpeg","category:pesticides|company:kenagro supplies ltd|type:inputs","Ml",100,"A2024020800034",270,"zero",100,"","","",""
"","","","","","Kg",50,"A2024020800035",170,"zero",100,"","","",""
"Agrimine 24D","agrimine-24d","Agrimine 24D","https://scontent-hyd1-1.xx.fbcdn.net/v/t39.30808-6/242155305_4248813295214372_6621500403260464083_n.jpg","category:herbicide|company:agriscope africa ltd.|type:inputs","Litre",1,"A2024020800036",500,"zero",100,"","","",""
"Agripack Carrots","agripack-carrots","Agripack Carrots","","category:seeds|company:agripack seeds ltd|type:inputs","Grams",500,"A2024020800037",1250,"zero",100,"","","",""
"Agro Z Bags","agro-z-bags","Agro Z Bags","https://pictures-kenya.jijistatic.com/55155218_NjIwLTUxOC1kNjNlYTc5YjVm.webp","category:sacks|company:makamithi|type:inputs","Kg",100,"A2024020800038",220,"zero",100,"","","",""
"Agromaster","agromaster","Agromaster","https://www.perfarelalbero.it/559662-large_default/agromaster-npk-14-7-14.jpg","category:fertilizers|company:icl|type:inputs","Litre",5,"A2024020800039",3000,"zero",100,"","","",""
"Agromax","agromax","Agromax","https://5.imimg.com/data5/SELLER/Default/2021/12/SG/XI/BI/66828522/agromax-granulated-soil-conditioner-500x500.jpeg","category:pesticides|company:agrosolutions (k) ltd.|type:inputs","Grams",250,"A2024020800040",430,"zero",100,"","","",""
"","","","","","Kg",1,"A2024020800041",1350,"zero",100,"","","",""
"Agroset Bag","agroset-bag","Agroset Bag","https://imaginecare.co.ke/wp-content/uploads/2021/11/AgroZ-Bag-Plus.png","category:sacks|company:agroset|type:inputs","Pieces",5,"A2024020800042",199,"zero",100,"","","",""
"Agroz Hermetic Bags","agroz-hermetic-bags","Agroz Hermetic Bags","https://imaginecare.co.ke/wp-content/uploads/2021/11/AgroZ-Bag-Plus..png","category:hermetic|company:ago z|type:inputs","Kg",100,"A2024020800043",220,"zero",100,"","","",""
"","","","","","Sacks",5,"A2024020800044",220,"zero",100,"","","",""
"Agrozyme","agrozyme","Agrozyme","https://3.imimg.com/data3/PL/GC/MY-2815402/agro-zyme-500x500.jpg","category:plant growth booster|company:agrichem africa ltd|type:inputs","Ml",100,"A2024020800045",120,"zero",100,"","","",""
"Aibendazole","aibendazole","Aibendazole","https://www.netmeds.com/images/product-v1/600x600/962199/albendazole_cadila_suspension_10ml_494386_3_0.jpg","category:drugs|company:coopers kenya ltd|type:inputs","Ml",500,"A2024020800046",450,"zero",100,"","","",""
"Airtime","airtime","Airtime","","category:others|company:safaricom|type:inputs","Others",100,"A2024020800047",100,"zero",100,"","","",""
